group_id	Group Name	Patent Number
C21D	"Modifying The Physical Structure Of Ferrous Metals; General Devices For Heat Treatment Of Ferrous Or Non-Ferrous Metals Or Alloys; Making Metal Malleable By Decarburisation, Tempering Or Other Treatments "	5486
C22B	Production And Refining Of Metals 	3041
C22C	Alloys 	12990
C22F	Changing The Physical Structure Of Non-Ferrous Metals And Non-Ferrous Alloys 	2757
C23C	"Coating Metallic Material; Coating Material With Metallic Material; Surface Treatment Of Metallic Material By Diffusion Into The Surface, By Chemical Conversion Or Substitution; Coating By Vacuum Evaporation, By Sputtering, By Ion Implantation Or By Chemical Vapour Deposition, In General "	28237
C23D	"Enamelling Of, Or Applying A Vitreous Layer To, Metals "	65
C23F	Non-Mechanical Removal Of Metallic Material From Surface 	3022
C23G	Cleaning Or Degreasing Of Metallic Material By Chemical Methods Other Than Electrolysis 	787
C25B	Electrolytic Or Electrophoretic Processes For The Production Of Compounds Or Non-Metals; Apparatus Therefor 	2866
C25C	"Processes For The Electrolytic Production, Recovery Or Refining Of Metals; Apparatus Therefor"	720
C25D	Processes For The Electrolytic Or Electrophoretic Production Of Coatings; Electroforming; Apparatus Therefor	5658
C25F	Processes For The Electrolytic Removal Of Materials From Objects; Apparatus Therefor	682
C30B	Single-Crystal-Growth 	6713
C40B	Combinatorial Chemistry; Libraries	2335
D01B	Mechanical Treatment Of Natural Fibrous Or Filamentary Material To Obtain Fibres Of Filaments	65
D01C	Chemical Treatment Of Natural Filamentary Or Fibrous Material To Obtain Filaments Or Fibres For Spinning; Carbonising Rags To Recover Animal Fibres	45
D01D	"Mechanical Methods Or Apparatus In The Manufacture Of Artificial Filaments, Threads, Fibres, Bristles Or Ribbons"	2234
D01F	"Chemical Features In The Manufacture Of Artificial Filaments, Threads, Fibres, Bristles Or Ribbons; Apparatus Specially Adapted For The Manufacture Of Carbon Filaments"	3615
D01G	Preliminary Treatment Of Fibres	303
D01H	Spinning Or Twisting 	325
D02G	"Crimping Or Curling Fibres, Filaments, Threads, Or Yarns; Yarns Or Threads"	1330
D02H	"Warping, Beaming Or Leasing"	39
D02J	"Finishing Or Dressing Of Filaments, Yarns, Threads, Cords, Ropes Or The Like "	322
D03C	Shedding Mechanisms; Pattern Cards Or Chains; Punching Of Cards; Designing Patterns	136
D03D	Woven Fabrics; Methods Of Weaving; Looms	2031
D03J	Auxiliary Weaving Apparatus; Weavers' Tools; Shuttles	65
D04B	Knitting	1794
D04C	"Braiding Or Manufacture Of Lace, Including Bobbin-Net Or Carbonised Lace; Braiding Machines; Braid; Lace "	554
D04D	"Trimmings; Ribbons, Tapes Or Bands, Not Otherwise Provided For "	79
D04G	Making Nets By Knotting Of Filamentary Material; Making Knotted Carpets Or Tapestries; Knotting Not Otherwise Provided For 	33
D04H	Making Textile Fabrics	3363
D05B	Sewing 	1347
D05C	Embroidering; Tufting 	659
D05D	"Indexing Scheme Associated With Subclasses D05B And D05C, Relating To Sewing, Embroidering And Tufting"	239
D06B	"Treating Textile Materials Using Liquids, Gases Or Vapours "	477
D06C	"Finishing, Dressing, Tentering Or Stretching Textile Fabrics"	395
D06F	"Laundering, Drying, Ironing, Pressing Or Folding Textile Articles"	5293
D06G	"Mechanical Or Pressure Cleaning Of Carpets, Rugs, Sacks, Hides, Or Other Skin Or Textile Articles Or Fabrics; Turning Inside-Out Flexible Tubular Or Other Hollow Articles"	15
D06H	"Marking, Inspecting, Seaming Or Severing Textile Materials "	220
D06J	"Pleating, Kilting Or Goffering Textile Fabrics Or Wearing Apparel "	10
D06L	"Dry-Cleaning, Washing Or Bleaching Fibres, Filaments, Threads, Yarns, Fabrics, Feathers Or Made-Up Fibrous Goods; Bleaching Leather Or Furs"	266
D06M	"Treatment, Not Provided For Elsewhere In Class D06, Of Fibres, Threads, Yarns, Fabrics, Feathers Or Fibrous Goods Made From Such Materials"	2677
D06N	"Wall, Floor, Or Like Covering Materials"	1126
D06P	"Dyeing Or Printing Textiles; Dyeing Leather, Furs Or Solid Macromolecular Substances In Any Form"	1083
D06Q	Decorating Textiles 	193
D07B	Ropes Or Cables In General 	895
D10B	"Indexing Scheme Associated With Sublasses Of Section D, Relating To Textiles"	3705
D21B	Fibrous Raw Materials Or Their Mechanical Treatment	418
D21C	Production Of Cellulose By Removing Non-Cellulose Substances From Cellulose-Containing Materials; Regeneration Of Pulping Liquors; Apparatus Therefor	1440
D21D	Treatment Of The Materials Before Passing To The Paper-Making Machine	322
D21F	Paper-Making Machines; Methods Of Producing Paper Thereon	1585
D21G	Calenders; Accessories For Paper-Making Machines 	459
D21H	Pulp Compositions; Preparation Thereof Not Covered By Subclasses D21C Or D21D; Impregnating Or Coating Of Paper; Treatment Of Finished Paper Not Covered By Class B31 Or Subclass D21G; Paper Not Otherwise Provided For	4397
D21J	Fibreboard; Manufacture Of Articles From Cellulosic Fibrous Suspensions Or From Papier-Mache 	180
E01B	Permanent Way; Permanent-Way Tools; Machines For Making Railways Of All Kinds 	1108
E01C	"Construction Of, Or Surfaces For, Roads, Sports Grounds, Or The Like; Machines Or Auxiliary Tools For Construction Or Repair "	3876
E01D	"Construction Of Bridges, {Elevated Roadways} Or Viaducts; Assembly Of Bridges "	689
E01F	"Additional Work, Such As Equipping Roads Or The Construction Of Platforms, Helicopter Landing Stages, Signs, Snow Fences, Or The Like"	1729
E01H	Street Cleaning; Cleaning Of Permanent Ways; Cleaning Beaches; Dispersing {Or Preventing} Fog In General {Cleaning Street Or Railway Furniture Or Tunnel Walls} 	1423
E02B	Hydraulic Engineering 	2260
E02C	Ship-Lifting Devices Or Mechanisms	9
E02D	Foundations; Excavations; Embankments 	3879
E02F	Dredging; Soil-Shifting 	7040
E03B	"Installations Or Methods For Obtaining, Collecting, Or Distributing Water "	1385
E03C	Domestic Plumbing Installations For Fresh Water Or Waste Water 	3019
E03D	Water-Closets Or Urinals With Flushing Devices; Flushing Valves Therefor	1872
E03F	Sewers; Cesspools	1904
E04B	General Building Constructions; Walls	9424
E04C	Structural Elements; Building Materials 	4904
E04D	Roof Coverings; Sky-Lights; Gutters; Roof-Working Tools 	3445
E04F	Finishing Work On Buildings	6530
E04G	"Scaffolding; Forms; Shuttering; Building Implements Or Other Building Aids, Or Their Use; Handling Building Materials On The Site; Repairing, Breaking-Up Or Other Work On Existing Buildings"	3278
E04H	"Buildings Or Like Structures For Particular Purposes; Swimming Or Splash Baths Or Pools; Masts; Fencing; Tents Or Canopies, In General "	7690
E05B	Locks; Accessories Therefor; Handcuffs	9040
E05C	"Bolts Or Fastening Devices For Wings, Specially For Doors Or Windows "	3089
E05D	"Hinges Or Other Suspension Devices For Doors, Windows Or Wings "	4488
E05F	"Devices For Moving Wings Into Open Or Closed Position; Checks For Wings; Wing Fittings Not Otherwise Provided For, Concerned With The Functioning Of The Wing"	5093
E05G	Safes Or Strong-Rooms For Valuables; Bank Protection Devices; Safety Transaction Partitions 	436
E05Y	"Indexing Scheme Relating To Hinges Or Other Suspension Devices For Doors, Windows Or Wings And Devices For Moving Wings Into Open Or Closed Position, Checks For Wings And Wing Fittings Not Otherwise Provided For, Concerned With The Functioning Of The Wing"	7279
E06B	"Fixed Or Movable Closures For Openings In Buildings, Vehicles, Fences Or Like Enclosures In General"	7825
E06C	Ladders 	969
E21B	Earth Drilling	37632
E21C	Mining Or Quarrying	1075
E21D	Shafts; Tunnels; Galleries; Large Underground Chambers 	746
E21F	"Safety Devices, Transport, Filling-Up, Rescue, Ventilation, Or Draining In Or Of Mines Or Tunnels"	521
F01B	"Machines Or Engines, In General Or Of Positive-Displacement Type"	942
F01C	Rotary-Piston Or Oscillating-Piston Machines Or Engines 	1747
F01D	Non-Positive Displacement Machines Or Engines	22027
F01K	Steam Engine Plants; Steam Accumulators; Engine Plants Not Otherwise Provided For; Engines Using Special Working Fluids Or Cycles 	2822
F01L	Cyclically Operating Valves For Machines Or Engines 	5558
F01M	Lubricating Of Machines Or Engines In General; Lubricating Internal Combustion Engines; Crankcase Ventilating	3407
F01N	Gas-Flow Silencers Or Exhaust Apparatus For Machines Or Engines In General; Gas-Flow Silencers Or Exhaust Apparatus For Internal Combustion Engines 	12826
F01P	Cooling Of Machines Or Engines In General; Cooling Of Internal-Combustion Engines 	3783
F02B	Internal-Combustion Piston Engines; Combustion Engines In General 	12888
F02C	Gas-Turbine Plants; Air Intakes For Jet-Propulsion Plants; Controlling Fuel Supply In Air-Breathing Jet-Propulsion Plants 	12594
F02D	Controlling Combustion Engines 	20426
F02F	"Cylinders, Pistons Or Casings, For Combustion Engines; Arrangements Of Sealings In Combustion Engines "	2858
F02G	Hot Gas Or Combustion-Product Positive-Displacement Engine Plants 	891
F02K	Jet-Propulsion Plants 	4448
F02M	Supplying Combustion Engines In General With Combustible Mixtures Or Constituents Thereof	16196
F02N	Starting Of Combustion Engines 	3794
F02P	"Ignition, Other Than Compression Ignition, For Internal-Combustion Engines; Testing Of Ignition Timing In Compression-Ignition Engines "	3196
F03B	Machines Or Engines For Liquids 	1853
F03C	Positive-Displacement Engines Driven By Liquids 	378
F03D	Wind Motors	6802
F03G	"Spring, Weight, Inertia Or Like Motors; Mechanical-Power Producing Devices Or Mechanisms, Not Otherwise Provided For Or Using Energy Sources Not Otherwise Provided For "	2032
F03H	"Producing A Reactive Propulsive Thrust, Not Otherwise Provided For "	282
F04B	Positive-Displacement Machines For Liquids; Pumps 	10957
F04C	"Rotary-Piston, Or Oscillating-Piston, Positive-Displacement Machines For Liquids "	6103
F04D	Non-Positive-Displacement Pumps 	14083
F04F	Pumping Of Fluid By Direct Contact Of Another Fluid Or By Using Inertia Of Fluid To Be Pumped {	860
F05B	"Indexing Scheme Relating To Wind, Spring, Weight, Inertia Or Like Motors, To Machines Or Engines For Liquids Covered By Subclasses F03B, F03D And F03G"	7346
F05C	"Indexing Scheme Relating To Materials, Material Properties Or Material Characteristics For Machines, Engines Or Pumps Other Than Non-Positive-Displacement Machines Or Engines"	1064
F05D	"Indexing Scheme For Aspects Relating To Non-Positive-Displacement Machines Or Engines, Gas-Turbines Or Jet-Propulsion Plants"	23501
F15B	Systems Acting By Means Of Fluids In General; Fluid-Pressure Actuators	6490
F15C	Fluid-Circuit Elements Predominantly Used For Computing Or Control Purposes 	274
F15D	"Fluid Dynamics, I.E. Methods Or Means For Influencing The Flow Of Gases Or Liquids "	854
F16B	Devices For Fastening Or Securing Constructional Elements Or Machine Parts Together	14821
F16C	Shafts; Flexible Shafts; Elements Or Crankshaft Mechanisms; Rotary Bodies Other Than Gearing Elements; Bearings	14536
F16D	Couplings For Transmitting Rotation; Clutches; Brakes	14675
F16F	Springs; Shock-Absorbers; Means For Damping Vibration	9878
F16G	"Belts, Cables, Or Ropes, Predominantly Used For Driving Purposes; Chains; Fittings Predominantly Used Therefor"	2085
F16H	Gearing	26974
F16J	Pistons {	6941
F16K	Valves; Taps; Cocks; Actuating-Floats; Devices For Venting Or Aerating {	17052
F16L	"Pipes; Joints Or Fittings For Pipes; Supports For Pipes, Cables Or Protective Tubing; Means For Thermal Insulation In General"	17017
F16M	"Frames, Casings, Or Beds Of Engines Or Other Machines Or Apparatus Not Specific To An Engine, Machine, Or Apparatus Provided For Elsewhere; Stands Or Supports"	8097
F16N	Lubricating	1438
F16P	Safety Devices In General; {Safety Devices For Presses}	800
F16S	"Constructional Elements In General; Structures Built-Up From Such Elements, In General"	47
F16T	Steam Traps Or Like Apparatus For Draining-Off Liquids From Enclosures Predominantly Containing Gases Or Vapours	141
F17B	Gas-Holders Of Variable Capacity 	4
F17C	"Vessels For Containing Or Storing Compressed, Liquefied Or Solidified Gases; Fixed-Capacity Gas-Holders; Filling Vessels With, Or Discharging From Vessels, Compressed, Liquefied, Or Solidified Gases "	3399
F17D	Pipe-Line Systems; Pipe-Lines 	1279
F21H	Incandescent Mantles; Other Incandescent Bodies Heated By Combustion	1
F21K	Non-Electric Light Sources Using Luminescence; Light Sources Using Electrochemiluminescence; Light Sources Using Charges Of Combustible Material; Light Sources Using Semiconductor Devices As Light-Generating Elements; Light Sources Not Otherwise Provided For	7146
F21L	"Lighting Devices Or Systems Thereof, Being Portable Or Specially Adapted For Transportation"	1658
F21S	Non-Portable Lighting Devices; Systems Thereof; Vehicle Lighting Devices Specially Adapted For Vehicle Exteriors	13562
F21V	"Functional Features Or Details Of Lighting Devices Or Systems Thereof; Structural Combinations Of Lighting Devices With Other Articles, Not Otherwise Provided For"	22508
F21W	"Indexing Scheme Associated With Subclasses F21K, F21L, F21S And F21V, Relating To Uses Or Applications Of Lighting Devices Or Systems"	6149
F21Y	"Indexing Scheme Associated With Subclasses F21K, F21L, F21S And F21V, Relating To The Form Or The Kind Of The Light Sources Or Of The Colour Of The Light Emitted"	16722
F22B	Methods Of Steam Generation; Steam Boilers 	1923
F22D	"Preheating, Or Accumulating Preheated, Feed-Water For Steam Generation; Feed-Water Supply For Steam Generation; Controlling Water Level For Steam Generation; Auxiliary Devices For Promoting Water Circulation Within Steam Boilers"	198
F22G	Superheating Of Steam 	179
F23B	Methods Or Apparatus For Combustion Using Only Solid Fuel 	185
F23C	Methods Or Apparatus For Combustion Using Fluid Fuel Or Solid Fuel Suspended In  {A Carrier Gas Or} Air  	1895
F23D	Burners 	3055
F23G	Cremation Furnaces; Consuming Waste Products By Combustion	1177
F23H	Grates 	52
F23J	Removal Or Treatment Of Combustion Products Or Combustion Residues; Flues  	1325
F23K	Feeding Fuel To Combustion Apparatus 	815
F23L	Supplying Air Or Non-Combustible Liquids Or Gases To Combustion Apparatus In General  	1057
F23M	"Casings, Linings, Walls Or Doors Specially Adapted For Combustion Chambers"	737
F23N	Regulating Or Controlling Combustion 	1881
F23Q	Ignition 	663
F23R	Generating Combustion Products Of High Pressure Or High Velocity	3993
F24B	Domestic Stoves Or Ranges For Solid Fuels	410
F24C	"Other Domestic Stoves Or Ranges; Details Of Domestic Stoves Or Ranges, Of General Application "	3321
F24D	Domestic- Or Space-Heating Systems	1987
F24F	Air-Conditioning; Air-Humidification; Ventilation; Use Of Air Currents For Screening 	10931
F24H	Fluid Heaters	2685
F24J	Production Or Use Of Heat Not Otherwise Provided For 	5
F24S	Solar Heat Collectors; Solar Heat Systems 	3394
F24T	Geothermal Collectors; Geothermal Systems	327
F24V	"Collection, Production Or Use Of Heat Not Otherwise Provided For"	265
F25B	"Refrigeration Machines, Plants Or Systems; Combined Heating And Refrigeration Systems; Heat-Pump Systems "	10341
F25C	"Producing, Working Or Handling Ice"	1708
F25D	Refrigerators; Cold Rooms; Ice-Boxes; Cooling Or Freezing Apparatus Not Covered By Any Other Subclass 	7817
F25J	"Liquefaction, Solidification Or Separation Of Gases Or Gaseous {Or Liquefied Gaseous} Mixtures By Pressure And Cold Treatment {Or By Bringing Them Into The Supercritical State "	1559
F26B	Drying Solid Materials Or Objects By Removing Liquid Therefrom 	2765
F27B	"Furnaces, Kilns, Ovens, Or Retorts In General; Open Sintering Or Like Apparatus"	2164
F27D	"Details Or Accessories Of Furnaces, Kilns, Ovens, Or Retorts, In So Far As They Are Of Kinds Occurring In More Than One Kind Of Furnace "	2610
F27M	"Indexing Scheme Relating To Aspects Of The Charges Or Furnaces, Kilns, Ovens Or Retorts"	42
F28B	Steam Or Vapour Condensers 	369
F28C	"Heat-Exchange Apparatus, Not Provided For In Another Subclass, In Which The Heat-Exchange Media Come Into Direct Contact Without Chemical Interaction "	468
F28D	"Heat-Exchange Apparatus, Not Provided For In Another Subclass, In Which The Heat-Exchange Media Do Not Come Into Direct Contact "	8691
F28F	"Details Of Heat-Exchange And Heat-Transfer Apparatus, Of General Application "	8873
F28G	Cleaning Of Internal Or External Surfaces Of Heat-Exchange Or Heat-Transfer Conduits	453
F41A	Functional Features Or Details Common To Both Smallarms And Ordnance	5468
F41B	Weapons For Projecting Missiles Without Use Of Explosive Or Combustible Propellant Charge; Weapons Not Otherwise Provided For 	2391
F41C	Smallarms	2451
F41F	Apparatus For Launching Projectiles Or Missiles From Barrels	395
F41G	Weapon Sights; Aiming 	3494
F41H	Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence	3435
F41J	Targets; Target Ranges; Bullet Catchers {	764
F42B	Explosive Charges	4896
F42C	Ammunition Fuzes 	974
F42D	Blasting 	852
G01B	"Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours {"	19480
G01C	"Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry "	28079
G01D	Measuring Not Specially Adapted For A Specific Variable; Arrangements For Measuring Two Or More Variables Not Covered In A Single Other Subclass; Tariff Metering Apparatus; Measuring Or Testing Not Otherwise Provided For	13282
G01F	"Measuring Volume, Volume Flow, Mass Flow Or Liquid Level; Metering By Volume"	11563
G01G	Weighing 	3152
G01H	"Measurement Of Mechanical Vibrations Or Ultrasonic, Sonic Or Infrasonic Waves"	2630
G01J	"Measurement Of Intensity, Velocity, Spectral Content, Polarisation, Phase Or Pulse Characteristics Of Infra-Red, Visible Or Ultra-Violet Light; Colorimetry; Radiation Pyrometry "	15050
G01K	Measuring Temperature; Measuring Quantity Of Heat; Thermally-Sensitive Elements Not Otherwise Provided For 	7158
G01L	"Measuring Force, Stress, Torque, Work, Mechanical Power, Mechanical Efficiency, Or Fluid Pressure "	11202
G01M	"Testing Static Or Dynamic Balance Of Machines Or Structures; Testing Of Structures Or Apparatus, Not Otherwise Provided For"	11977
G01N	Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties 	106093
G01P	"Measuring Linear Or Angular Speed, Acceleration, Deceleration, Or Shock; Indicating Presence, Absence, Or Direction, Of Movement "	7184
G01Q	Scanning-Probe Techniques Or Apparatus; Applications Of Scanning-Probe Techniques	1346
G01R	Measuring Electric Variables; Measuring Magnetic Variables 	49724
G01S	Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves	40525
G01T	Measurement Of Nuclear Or X-Radiation 	6367
G01V	Geophysics; Gravitational Measurements; Detecting Masses Or Objects 	13872
G01W	Meteorology 	1236
G02B	"Optical Elements, Systems, Or Apparatus "	103901
G02C	Spectacles; Sunglasses Or Goggles Insofar As They Have The Same Features As Spectacles; Contact Lenses 	5675
G02F	"Devices Or Arrangements, The Optical Operation Of Which Is Modified By Changing The Optical Properties Of The Medium Of The Devices Or Arrangements For The Control Of The Intensity, Colour, Phase, Polarisation Or Direction Of Light"	51879
G03B	Apparatus Or Arrangements For Taking Photographs Or For Projecting Or Viewing Them; Apparatus Or Arrangements Employing Analogous Techniques Using Waves Other Than Optical Waves; Accessories Therefor 	20651
G03C	Photosensitive Materials For Photographic Purposes 	647
G03D	Apparatus For Processing Exposed Photographic Materials 	144
G03F	Photomechanical Production Of Textured Or Patterned Surfaces	26846
G03G	Electrography; Electrophotography; Magnetography 	35970
G03H	Holographic Processes Or Apparatus 	2322
G04B	"Mechanically-Driven Clocks Or Watches; Mechanical Parts Of Clocks Or Watches In General; Time Pieces Using The Position Of The Sun, Moon Or Stars "	2153
G04C	Electromechanical Clocks Or Watches 	970
G04D	Apparatus Or Tools Specially Designed For Making Or Maintaining Clocks Or Watches	200
G04F	Time-Interval Measuring 	1307
G04G	Electronic Time-Pieces	2128
G04R	Radio-Controlled Time-Pieces	666
G05B	Control Or Regulating Systems In General; Functional Elements Of Such Systems; Monitoring Or Testing Arrangements For Such Systems Or Elements 	34491
G05D	Systems For Controlling Or Regulating Non-Electric Variables 	23726
G05F	Systems For Regulating Electric Or Magnetic Variables 	8728
G05G	Control Devices Or Systems Insofar As Characterised By Mechanical Features Only 	2564
G06C	Digital Computers In Which All The Computation Is Effected Mechanically 	29
G06D	Digital Fluid-Pressure Computing Devices	7
G06E	Optical Computing Devices; {Computing Devices Using Other Radiations With Similar Properties} 	126
G06F	Electric Digital Data Processing 	467019
G06G	Analogue Computers 	734
G06J	Hybrid Computing Arrangements 	68
G06K	Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers	88802
G06M	Counting Mechanisms; Counting Of Objects Not Otherwise Provided For 	311
G06N	Computer Systems Based On Specific Computational Models	28993
G06Q	"Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For"	129640
G06T	"Image Data Processing Or Generation, In General"	90672
G07B	Ticket-Issuing Apparatus; Fare-Registering Apparatus; Franking Apparatus	2036
G07C	"Time Or Attendance Registers; Registering Or Indicating The Working Of Machines; Generating Random Numbers; Voting Or Lottery Apparatus; Arrangements, Systems Or Apparatus For Checking Not Provided For Elsewhere "	15355
G07D	Handling Of Coins Or Valuable Papers	3295
G07F	Coin-Freed Or Like Apparatus 	22920
G07G	"Registering The Receipt Of Cash, Valuables, Or Tokens "	2416
G08B	Signalling Or Calling Systems; Order Telegraphs; Alarm Systems {	22267
G08C	"Transmission Systems For Measured Values, Control Or Similar Signals "	5997
G08G	Traffic Control Systems 	19064
G09B	"Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams "	11727
G09C	Coding Or Ciphering Apparatus For Cryptographic Or Other Purposes Involving The Need For Secrecy 	1466
G09D	Railway Or Like Time Or Fare Tables; Perpetual Calendars 	27
G09F	Displaying; Advertising; Signs; Labels Or Name-Plates; Seals	9362
G09G	Arrangements Or Circuits For Control Of Indicating Devices Using Static Means To Present Variable Information 	51069
G10B	"Organs, Harmoniums Or Similar Wind Musical Instruments With Associated Blowing Apparatus "	34
G10C	"Pianos, Harpsichords, Spinets Or Similar Stringed Musical Instruments With One Or More Keyboards "	303
G10D	Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Aeolian Harps; Singing-Flame Musical Instruments; Musical Instruments Not Otherwise Provided For 	2166
G10F	Automatic Musical Instruments 	113
G10G	Aids For Music 	692
G10H	Electrophonic Musical Instruments 	4195
G10K	Sound-Producing Devices 	5550
G10L	Speech Analysis Or Synthesis; Speech Recognition; Speech Or Voice Processing; Speech Or Audio Coding Or Decoding	26725
G11B	Information Storage Based On Relative Movement Between Record Carrier And Transducer 	37219
G11C	Static Stores 	64288
G12B	"Constructional Details Of Instruments, Or Comparable Details Of Other Apparatus, Not Otherwise Provided For"	101
G16B	"Bioinformatics, I.E. Information And Communication Technology [Ict] Specially Adapted For Genetic Or Protein-Related Data Processing In Computational Molecular Biology"	4125
G16C	Computational Chemistry; Chemoinformatics; Computational Materials Science	1075
G16H	"Healthcare Informatics, I.E. Information And Communication Technology [Ict] Specially Adapted For The Handling Or Processing Of Medical Or Healthcare Data"	29135
G16Y	Information And Communication Technology Specially Adapted For The Internet Of Things [Iot]	116
G16Z	"Information And Communication Technology [Ict] Specially Adapted For Specific Application Fields, Not Otherwise Provided For"	4082
G21B	Fusion Reactors 	298
G21C	Nuclear Reactors 	2372
G21D	Nuclear Power Plant	628
G21F	"Protection Against X-Radiation, Gamma Radiation, Corpuscular Radiation Or Particle Bombardment; Treating Radioactively Contaminated Material; Decontamination Arrangements Therefor "	1503
G21G	Conversion Of Chemical Elements; Radioactive Sources 	476
G21H	"Obtaining Energy From Radioactive Sources; Applications Of Radiation From Radioactive Sources, Not Otherwise Provided For; Utilising Cosmic Radiation "	165
G21J	Nuclear Explosives; Applications Thereof 	5
G21K	Techniques For Handling Particles Or Ionising Radiation Not Otherwise Provided For; Irradiation Devices; Gamma Ray Or X-Ray Microscopes	3167
G21Y	"Indexing Scheme Relating To Nuclear Reactors, Power Plants And Explosives, To Protection Against Radiation, To The Treatment Of Radioactively Contaminated Material, To Applications Of Radioactive Sources And To The Utilisation Of Cosmic Radiation"	1
H01B	"Cables; Conductors; Insulators; Selection Of Materials For Their Conductive, Insulating Or Dielectric Properties "	11479
H01C	Resistors	2364
H01F	Magnets; Inductances; Transformers; Selection Of Materials For Their Magnetic Properties 	18645
H01G	"Capacitors; Capacitors, Rectifiers, Detectors, Switching Devices Or Light-Sensitive Devices, Of The Electrolytic Type "	11386
H01H	Electric Switches; Relays; Selectors; Emergency Protective Devices 	16283
H01J	Electric Discharge Tubes Or Discharge Lamps 	26694
H01K	Electric Incandescent Lamps 	285
H01L	Semiconductor Devices; Electric Solid State Devices Not Otherwise Provided For 	301116
H01M	Processes Or Means	47811
H01P	"Waveguides; Resonators, Lines, Or Other Devices Of The Waveguide Type "	7161
H01Q	"Antennas, I.E. Radio Aerials "	25724
H01R	Electrically-Conductive Connections; Structural Associations Of A Plurality Of Mutually-Insulated Electrical Connecting Elements; Coupling Devices; Current Collectors	37077
H01S	Devices Using The Process Of Light Amplification By Stimulated Emission Of Radiation [Laser] To Amplify Or Generate Light; Devices Using Stimulated Emission Of Electromagnetic Radiation In Wave Ranges Other Than Optical	15484
H01T	Spark Gaps; Overvoltage Arresters Using Spark Gaps; Sparking Plugs; Corona Devices; Generating Ions To Be Introduced Into Non-Enclosed Gases 	2192
H02B	"Boards, Substations, Or Switching Arrangements For The Supply Or Distribution Of Electric Power "	2461
H02G	"Installation Of Electric Cables Or Lines, Or Of Combined Optical And Electric Cables Or Lines "	10086
H02H	Emergency Protective Circuit Arrangements 	8990
H02J	Circuit Arrangements Or Systems For Supplying Or Distributing Electric Power; Systems For Storing Electric Energy	38098
H02K	Dynamo-Electric Machines 	22953
H02M	"Apparatus For Conversion Between Ac And Ac, Between Ac And Dc, Or Between Dc And Dc, And For Use With Mains Or Similar Power Supply Systems; Conversion Of Dc Or Ac Input Power Into Surge Output Power; Control Or Regulation Thereof "	30917
H02N	Electric Machines Not Otherwise Provided For	3519
H02P	"Control Or Regulation Of Electric Motors, Electric Generators Or Dynamo-Electric Converters; Controlling Transformers, Reactors Or Choke Coils"	14286
H02S	"Generation Of Electric Power By Conversion Of Infra-Red Radiation, Visible Light Or Ultraviolet Light"	4798
H03B	"Generation Of Oscillations, Directly Or By Frequency-Changing, By Circuits Employing Active Elements Which Operate In A Non-Switching Manner; Generation Of Noise By Such Circuits "	3508
H03C	Modulation 	939
H03D	Demodulation Or Transference Of Modulation From One Carrier To Another 	2159
H03F	Amplifiers 	16964
H03G	Control Of Amplification 	6346
H03H	Impedance Networks	12353
H03J	Tuning Resonant Circuits; Selecting Resonant Circuits 	1371
H03K	Pulse Technique 	33236
H03L	"Automatic Control, Starting, Synchronisation, Or Stabilisation Of Generators Of Electronic Oscillations Or Pulses "	10131
H03M	Coding; Decoding; Code Conversion In General 	23551
H04B	Transmission	90947
H04H	Broadcast Communication 	7714
H04J	Multiplex Communication 	19056
H04K	Secret Communication; Jamming Of Communication	1375
H04L	Transmission Of Digital Information	330025
H04M	Telephonic Communication 	59360
H04N	Pictorial Communication	176421
H04Q	Selecting 	12439
H04R	"Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems "	26933
H04S	Stereophonic Systems 	5786
H04T	Indexing Scheme Relating To Standards For Electric Communication Technique 	5
H04W	Wireless Communication Networks 	186491
H05B	Electric Heating; Electric Lighting Not Otherwise Provided For	32190
H05C	"Electric Circuits Or Apparatus Specially Designed For Use In Equipment For Killing, Stunning, Or Guiding Living Beings "	106
H05F	Static Electricity; Naturally-Occurring Electricity 	443
H05G	X-Ray Technique 	2063
H05H	Plasma Technique 	3749
H05K	Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components	60808
H99Z	Subject Matter Not Otherwise Provided For In This Section	1
Y02A	Technologies For Adaptation To Climate Change	24255
